Allabon, Agno, 661
Aloleng, Agno, 2,560
Bangan‑Oda, Agno, 3,771
Baruan, Agno, 1,664
Boboy, Agno, 3,311
Cayungnan, Agno, 2,119
Dangley, Agno, 586
Gayusan, Agno, 1,416
Macaboboni, Agno, 2,428
Magsaysay, Agno, 1,155
Namatucan, Agno, 1,234
Patar, Agno, 1,020
Poblacion East, Agno, 1,521
Poblacion West, Agno, 1,190
San Juan, Agno, 1,220
Tupa, Agno, 1,228
Viga, Agno, 968
Bayaoas, Aguilar, 2,048
Baybay, Aguilar, 3,455
Bocacliw, Aguilar, 2,951
Bocboc East, Aguilar, 2,538
Bocboc West, Aguilar, 1,812
Buer, Aguilar, 3,245
Calsib, Aguilar, 2,609
Laoag, Aguilar, 3,413
Manlocboc, Aguilar, 1,273
Ninoy, Aguilar, 3,810
Panacol, Aguilar, 1,626
Poblacion, Aguilar, 3,505
Pogomboa, Aguilar, 1,860
Pogonsili, Aguilar, 2,540
San Jose, Aguilar, 2,585
Tampac, Aguilar, 2,193
Alos, Alaminos, 2,077
Amandiego, Alaminos, 1,575
Amangbangan, Alaminos, 1,238
Balangobong, Alaminos, 1,891
Balayang, Alaminos, 1,193
Baleyadaan, Alaminos, 1,807
Bisocol, Alaminos, 1,645
Bolaney, Alaminos, 2,331
Bued, Alaminos, 3,197
Cabatuan, Alaminos, 1,857
Cayucay, Alaminos, 1,649
Dulacac, Alaminos, 1,293
Inerangan, Alaminos, 1,858
Landoc, Alaminos, 688
Linmansangan, Alaminos, 1,342
Lucap, Alaminos, 5,714
Maawi, Alaminos, 1,294
Macatiw, Alaminos, 985
Magsaysay, Alaminos, 3,237
Mona, Alaminos, 1,857
Palamis, Alaminos, 4,484
Pandan, Alaminos, 1,398
Pangapisan, Alaminos, 2,734
Poblacion, Alaminos, 10,302
Pocalpocal, Alaminos, 2,270
Pogo, Alaminos, 2,248
Polo, Alaminos, 2,354
Quibuar, Alaminos, 1,648
Sabangan, Alaminos, 1,960
San Antonio (R. Magsaysay), Alaminos, 1,143
San Jose, Alaminos, 1,646
San Roque, Alaminos, 2,367
San Vicente, Alaminos, 3,757
Santa Maria, Alaminos, 1,327
Tanaytay, Alaminos, 1,645
Tangcarang, Alaminos, 2,300
Tawintawin, Alaminos, 1,564
Telbang, Alaminos, 3,488
Victoria, Alaminos, 2,345
Anulid, Alcala, 2,322
Atainan, Alcala, 1,532
Bersamin, Alcala, 3,498
Canarvacanan, Alcala, 1,767
Caranglaan, Alcala, 1,131
Curareng, Alcala, 718
Gualsic, Alcala, 1,535
Kasikis, Alcala, 3,170
Laoac, Alcala, 2,911
Macayo, Alcala, 1,908
Pindangan Centro, Alcala, 1,658
Pindangan East, Alcala, 1,688
Pindangan West, Alcala, 1,337
Poblacion East, Alcala, 1,438
Poblacion West, Alcala, 1,724
San Juan, Alcala, 2,004
San Nicolas, Alcala, 679
San Pedro Apartado, Alcala, 3,606
San Pedro IlI, Alcala, 3,410
San Vicente, Alcala, 4,239
Vacante, Alcala, 1,127
Awag, Anda, 2,226
Awile, Anda, 1,658
Batiarao, Anda, 1,665
Cabungan, Anda, 3,178
Carot, Anda, 3,440
Dolaoan, Anda, 2,164
Imbo, Anda, 1,626
Macaleeng, Anda, 1,710
Macandocandong, Anda, 1,040
Mal‑ong, Anda, 2,877
Namagbagan, Anda, 1,726
Poblacion, Anda, 3,450
Roxas, Anda, 1,786
Sablig, Anda, 2,377
San Jose, Anda, 2,216
Siapar, Anda, 1,594
Tondol, Anda, 2,935
Toritori, Anda, 1,836
Ariston Este, Asingan, 1,162
Ariston Weste, Asingan, 2,958
Bantog, Asingan, 4,421
Baro, Asingan, 2,846
Bobonan, Asingan, 1,402
Cabalitian, Asingan, 2,449
Calepaan, Asingan, 4,086
Carosucan Norte, Asingan, 3,824
Carosucan Sur, Asingan, 3,255
Coldit, Asingan, 1,746
Domanpot, Asingan, 5,728
Dupac, Asingan, 2,248
Macalong, Asingan, 3,663
Palaris, Asingan, 2,120
Poblacion East, Asingan, 2,930
Poblacion West, Asingan, 1,570
San Vicente Este, Asingan, 1,354
San Vicente Weste, Asingan, 2,265
Sanchez, Asingan, 1,275
Sobol, Asingan, 2,701
Toboy, Asingan, 3,352
Angayan Norte, Balungao, 1,272
Angayan Sur, Balungao, 707
Capulaan, Balungao, 1,198
Esmeralda, Balungao, 3,160
Kita‑kita, Balungao, 1,746
Mabini, Balungao, 992
Mauban, Balungao, 1,139
Poblacion, Balungao, 2,197
Pugaro, Balungao, 2,553
Rajal, Balungao, 2,009
San Andres, Balungao, 1,061
San Aurelio 1st, Balungao, 2,074
San Aurelio 2nd, Balungao, 1,638
San Aurelio 3rd, Balungao, 871
San Joaquin, Balungao, 1,656
San Julian, Balungao, 1,124
San Leon, Balungao, 2,072
San Marcelino, Balungao, 1,511
San Miguel, Balungao, 740
San Raymundo, Balungao, 1,386
Ambabaay, Bani, 1,998
Aporao, Bani, 800
Arwas, Bani, 2,085
Ballag, Bani, 1,144
Banog Norte, Bani, 2,323
Banog Sur, Bani, 1,460
Calabeng, Bani, 1,096
Centro Toma, Bani, 1,992
Colayo, Bani, 1,900
Dacap Norte, Bani, 1,131
Dacap Sur, Bani, 2,610
Garrita, Bani, 1,561
Luac, Bani, 1,936
Macabit, Bani, 1,138
Masidem, Bani, 1,096
Poblacion, Bani, 5,011
Quinaoayanan, Bani, 3,317
Ranao, Bani, 2,290
Ranom Iloco, Bani, 1,708
San Jose, Bani, 1,982
San Miguel, Bani, 3,466
San Simon, Bani, 1,433
San Vicente, Bani, 1,439
Tiep, Bani, 2,296
Tipor, Bani, 874
Tugui Grande, Bani, 1,487
Tugui Norte, Bani, 733
Anambongan, Basista, 3,206
Bayoyong, Basista, 1,847
Cabeldatan, Basista, 2,896
Dumpay, Basista, 5,955
Malimpec East, Basista, 1,604
Mapolopolo, Basista, 2,311
Nalneran, Basista, 1,296
Navatat, Basista, 3,049
Obong, Basista, 2,314
Osmena Sr., Basista, 1,873
Palma, Basista, 2,266
Patacbo, Basista, 1,619
Poblacion, Basista, 2,723
Artacho, Bautista, 1,298
Baluyot, Bautista, 3,322
Cabuaan, Bautista, 1,399
Cacandongan, Bautista, 909
Diaz, Bautista, 4,519
Ketegan, Bautista, 1,121
Nandacan, Bautista, 1,407
Nibaliw Norte, Bautista, 2,078
Nibaliw Sur, Bautista, 1,059
Palisoc, Bautista, 1,720
Poblacion East, Bautista, 1,969
Poblacion West, Bautista, 982
Pogo, Bautista, 1,944
Poponto, Bautista, 1,977
Primicias, Bautista, 1,916
Sinabaan, Bautista, 612
Vacante, Bautista, 1,624
Villanueva, Bautista, 2,451
Alinggan, Bayambang, 1,430
Amamperez, Bayambang, 1,058
Amancosiling Norte, Bayambang, 1,168
